         72476276 function calls (68459571 primitive calls) in 36.347 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   221056    0.184    0.000    0.246    0.000 copy.py:181(_deepcopy_tuple)
   414455    0.091    0.000    0.243    0.000 _pset.py:128(is_dirty)
   504096    0.157    0.000    0.239    0.000 copy.py:212(_keep_alive)
  3048772    0.237    0.000    0.237    0.000 {built-in method builtins.id}
   907678    0.160    0.000    0.228    0.000 _pvector.py:260(__len__)
   377/54    0.000    0.000    0.206    0.004 <frozen importlib._bootstrap>:1409(_handle_fromlist)
  2817170    0.196    0.000    0.196    0.000 {built-in method builtins.abs}
   251328    0.113    0.000    0.196    0.000 {method '__reduce_ex__' of 'object' objects}
1443851/1441000    0.174    0.000    0.195    0.000 {built-in method __new__ of type object at 0x7f4a1414d1c0}
   406/31    0.000    0.000    0.189    0.006 {built-in method builtins.__import__}
  1269621    0.184    0.000    0.184    0.000 _pvector.py:263(is_dirty)
   149189    0.108    0.000    0.183    0.000 {built-in method _heapq.heappop}
     1440    0.061    0.000    0.183    0.000 grid.py:436(_get_neighbors)
  1955941    0.181    0.000    0.181    0.000 graph_to_matrix.py:117(__lt__)
   414456    0.126    0.000    0.173    0.000 _pmap.py:150(__new__)
   440711    0.100    0.000    0.166    0.000 _pvector.py:158(__init__)
   414456    0.121    0.000    0.165    0.000 _pset.py:33(__new__)
   259595    0.047    0.000    0.163    0.000 grid.py:491(is_belt_with_id)
   855166    0.157    0.000    0.157    0.000 _pvector.py:173(_reset)
     1330    0.016    0.000    0.156    0.000 grid.py:233(state_key_memory)
     1280    0.001    0.000    0.150    0.000 move_building_mutation.py:51(get_cache_key)
855312/855230    0.149    0.000    0.149    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.149    0.149 application.py:1(<module>)
        1    0.000    0.000    0.148    0.148 cli.py:1(<module>)
    79419    0.017    0.000    0.139    0.000 grid.py:236(<genexpr>)
  1159493    0.137    0.000    0.137    0.000 grid.py:196(__contains__)
   946369    0.134    0.000    0.134    0.000 _pvector.py:303(_node_for)
  1421428    0.133    0.000    0.133    0.000 {built-in method builtins.hash}
        1    0.000    0.000    0.127    0.127 factory_loader.py:1(<module>)
     1523    0.001    0.000    0.126    0.000 area_aspect.py:7(evaluate)
     1523    0.001    0.000    0.126    0.000 grid.py:311(get_area)
        1    0.000    0.000    0.125    0.125 dependency_graph.py:1(<module>)
    78089    0.026    0.000    0.122    0.000 grid_entry.py:246(state_key_memory)
        1    0.000    0.000    0.101    0.101 main_window.py:61(__init__)
        1    0.001    0.001    0.100    0.100 main_window.py:100(_setup_ui)
  1469876    0.095    0.000    0.095    0.000 grid_entry.py:153(is_factory)
    78089    0.028    0.000    0.087    0.000 grid_entry.py:232(state_key)
  1019493    0.087    0.000    0.087    0.000 graph_to_matrix.py:48(is_after_start)
    35561    0.050    0.000    0.087    0.000 grid.py:87(add_transportation)
        1    0.000    0.000    0.086    0.086 main_window.py:301(_setup_result_layout)
        1    0.085    0.085    0.086    0.086 factory_result_widget.py:22(__init__)
  1333958    0.085    0.000    0.085    0.000 grid_entry.py:162(is_source)
    11354    0.045    0.000    0.085    0.000 {built-in method builtins.min}
266255/259154    0.030    0.000    0.084    0.000 {built-in method builtins.hasattr}
    84260    0.061    0.000    0.083    0.000 copyreg.py:112(_slotnames)
   823275    0.080    0.000    0.080    0.000 {method 'append' of 'list' objects}
   616918    0.078    0.000    0.078    0.000 graph_to_matrix.py:136(__contains__)
     3892    0.029    0.000    0.074    0.000 graph_to_matrix.py:64(has_transformable_path_endpoints)
642595/642585    0.073    0.000    0.073    0.000 {built-in method builtins.getattr}
   461616    0.071    0.000    0.071    0.000 graph_to_matrix.py:130(__setitem__)
     1523    0.001    0.000    0.067    0.000 distance_from_center_aspect.py:7(evaluate)
     4012    0.044    0.000    0.067    0.000 graph_to_matrix.py:635(get_long_handed_inserter_connection)
     1523    0.038    0.000    0.067    0.000 grid.py:350(get_distances_from_center)
     1523    0.002    0.000    0.066    0.000 grid.py:305(get_with)
  1266675    0.066    0.000    0.066    0.000 grid_entry.py:48(get_id)
     1440    0.032    0.000    0.063    0.000 grid.py:420(_remove_belts)
    27/26    0.000    0.000    0.063    0.002 <frozen importlib._bootstrap_external>:1059(exec_module)
    27/26    0.003    0.000    0.062    0.002 {built-in method _imp.exec_dynamic}
   167072    0.043    0.000    0.061    0.000 copyreg.py:103(__newobj__)
    42311    0.043    0.000    0.060    0.000 {built-in method builtins.max}
     1523    0.002    0.000    0.058    0.000 grid.py:308(get_height)
   585391    0.058    0.000    0.058    0.000 grid_entry.py:102(create_belt_id)
    26257    0.022    0.000    0.057    0.000 _pvector.py:357(_mutating_extend)
   305144    0.054    0.000    0.054    0.000 {method 'extend' of 'list' objects}
        3    0.000    0.000    0.054    0.018 __init__.py:11(__getattr__)
        1    0.001    0.001    0.054    0.054 main_window.py:1(<module>)
   165632    0.034    0.000    0.050    0.000 grid_entry.py:208(is_connected_to)
  475/469    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
      372    0.000    0.000    0.048    0.000 enum.py:677(__call__)
      217    0.001    0.000    0.048    0.000 enum.py:824(_create_)
   531914    0.045    0.000    0.045    0.000 _pvector.py:48(__len__)
        1    0.000    0.000    0.044    0.044 __init__.py:41(_setupQtDirectories)
        1    0.001    0.001    0.043    0.043 factory_result_widget.py:1(<module>)
    27/21    0.000    0.000    0.043    0.002 <frozen importlib._bootstrap_external>:1051(create_module)
    27/21    0.024    0.001    0.043    0.002 {built-in method _imp.create_dynamic}
    26257    0.021    0.000    0.042    0.000 _pvector.py:329(append)
   153000    0.029    0.000    0.042    0.000 graph_to_matrix.py:133(__len__)
        1    0.000    0.000    0.042    0.042 main_window.py:448(_handle_compute_result)
        1    0.000    0.000    0.041    0.041 signature_bootstrap.py:40(bootstrap)
     13/3    0.000    0.000    0.040    0.013 signature_bootstrap.py:190(exec_module)
        1    0.000    0.000    0.039    0.039 loader.py:1(<module>)
        1    0.000    0.000    0.038    0.038 factory_result_widget.py:72(show_results)
   181502    0.038    0.000    0.038    0.000 {method 'update' of 'dict' objects}
   423657    0.037    0.000    0.037    0.000 {built-in method builtins.issubclass}
     1523    0.001    0.000    0.036    0.000 inserter_cost_aspect.py:7(evaluate)
    26256    0.011    0.000    0.036    0.000 _pvector.py:76(__iter__)
     1523    0.001    0.000    0.036    0.000 grid.py:403(get_inserter_cost)
      574    0.001    0.000    0.035    0.000 __init__.py:330(_compile)
     2731    0.009    0.000    0.035    0.000 {built-in method builtins.sum}
       54    0.000    0.000    0.035    0.001 __init__.py:287(compile)
     4174    0.002    0.000    0.035    0.000 graph_to_matrix.py:596(are_neighbors_with_one_normal_space)
       54    0.000    0.000    0.034    0.001 _compiler.py:757(compile)
     2286    0.009    0.000    0.033    0.000 grid.py:57(add_factory)
   414455    0.033    0.000    0.033    0.000 graph_to_matrix.py:828(evaluate_borders)
      228    0.004    0.000    0.033    0.000 enum.py:480(__new__)
      201    0.002    0.000    0.032    0.000 graph_to_matrix.py:294(_place_graph_nodes)
      200    0.006    0.000    0.032    0.000 topological_sort_generator.py:6(generate_random)
      428    0.002    0.000    0.032    0.000 <frozen importlib._bootstrap_external>:826(get_code)
  757/737    0.005    0.000    0.032    0.000 {built-in method builtins.__build_class__}
     7781    0.005    0.000    0.031    0.000 grid.py:133(transform_into_inserter)
   315079    0.031    0.000    0.031    0.000 graph_to_matrix.py:446(<lambda>)
   397559    0.030    0.000    0.030    0.000 grid_entry.py:171(is_transportation)
     4174    0.002    0.000    0.029    0.000 graph_to_matrix.py:844(get_manhattan_metric_two_sets)
    35198    0.018    0.000    0.028    0.000 graph_to_matrix.py:998(distance_between_basis_vectors)
     7781    0.010    0.000    0.027    0.000 grid.py:123(try_transportation)
