         96906572 function calls (92862053 primitive calls) in 44.642 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   502/13    0.001    0.000    0.272    0.021 <frozen importlib._bootstrap>:1360(_find_and_load)
    491/3    0.002    0.000    0.272    0.091 <frozen importlib._bootstrap>:1308(_find_and_load_unlocked)
   1359/9    0.000    0.000    0.272    0.030 <frozen importlib._bootstrap>:483(_call_with_frames_removed)
    472/5    0.001    0.000    0.272    0.054 <frozen importlib._bootstrap>:914(_load_unlocked)
   221056    0.188    0.000    0.251    0.000 copy.py:181(_deepcopy_tuple)
     1440    0.003    0.000    0.251    0.000 grid.py:472(erase_factory)
   416046    0.092    0.000    0.247    0.000 _pset.py:128(is_dirty)
   504096    0.161    0.000    0.244    0.000 copy.py:212(_keep_alive)
  3050484    0.243    0.000    0.243    0.000 {built-in method builtins.id}
    426/4    0.001    0.000    0.239    0.060 <frozen importlib._bootstrap_external>:753(exec_module)
   910485    0.164    0.000    0.236    0.000 _pvector.py:260(__len__)
1448468/1445617    0.185    0.000    0.206    0.000 {built-in method __new__ of type object at 0x7f214714d1c0}
   375/52    0.000    0.000    0.202    0.004 <frozen importlib._bootstrap>:1409(_handle_fromlist)
   251328    0.114    0.000    0.200    0.000 {method '__reduce_ex__' of 'object' objects}
   150638    0.112    0.000    0.189    0.000 {built-in method _heapq.heappop}
  1971537    0.187    0.000    0.187    0.000 graph_to_matrix.py:115(__lt__)
  1274269    0.184    0.000    0.185    0.000 _pvector.py:263(is_dirty)
   416047    0.131    0.000    0.183    0.000 _pmap.py:150(__new__)
     1440    0.061    0.000    0.182    0.000 grid.py:436(_get_neighbors)
   404/31    0.000    0.000    0.181    0.006 {built-in method builtins.__import__}
   416047    0.133    0.000    0.179    0.000 _pset.py:33(__new__)
   442177    0.101    0.000    0.170    0.000 _pvector.py:158(__init__)
   261878    0.048    0.000    0.166    0.000 grid.py:491(is_belt_with_id)
   858223    0.163    0.000    0.163    0.000 _pvector.py:173(_reset)
     1330    0.016    0.000    0.159    0.000 grid.py:233(state_key_memory)
     1280    0.001    0.000    0.153    0.000 move_building_mutation.py:51(get_cache_key)
858369/858287    0.153    0.000    0.153    0.000 {built-in method _abc._abc_subclasscheck}
        1    0.000    0.000    0.143    0.143 application.py:1(<module>)
    79419    0.017    0.000    0.142    0.000 grid.py:236(<genexpr>)
        1    0.000    0.000    0.142    0.142 cli.py:1(<module>)
  1164818    0.141    0.000    0.141    0.000 grid.py:196(__contains__)
  1415865    0.137    0.000    0.137    0.000 {built-in method builtins.hash}
   951155    0.137    0.000    0.137    0.000 _pvector.py:303(_node_for)
     1525    0.001    0.000    0.129    0.000 area_aspect.py:7(evaluate)
     1525    0.001    0.000    0.129    0.000 grid.py:311(get_area)
    78089    0.026    0.000    0.124    0.000 grid_entry.py:246(state_key_memory)
        1    0.000    0.000    0.124    0.124 factory_loader.py:1(<module>)
        1    0.000    0.000    0.122    0.122 dependency_graph.py:1(<module>)
        1    0.000    0.000    0.099    0.099 main_window.py:61(__init__)
        1    0.001    0.001    0.098    0.098 main_window.py:100(_setup_ui)
  1470804    0.097    0.000    0.097    0.000 grid_entry.py:153(is_factory)
    78089    0.029    0.000    0.090    0.000 grid_entry.py:232(state_key)
  1028843    0.089    0.000    0.089    0.000 graph_to_matrix.py:46(is_after_start)
    35414    0.052    0.000    0.089    0.000 grid.py:87(add_transportation)
  1334694    0.086    0.000    0.086    0.000 grid_entry.py:162(is_source)
    84260    0.064    0.000    0.086    0.000 copyreg.py:112(_slotnames)
        1    0.000    0.000    0.083    0.083 main_window.py:301(_setup_result_layout)
        1    0.082    0.082    0.083    0.083 factory_result_widget.py:22(__init__)
266247/259146    0.031    0.000    0.082    0.000 {built-in method builtins.hasattr}
   819841    0.082    0.000    0.082    0.000 {method 'append' of 'list' objects}
   621807    0.080    0.000    0.080    0.000 graph_to_matrix.py:134(__contains__)
     3892    0.030    0.000    0.076    0.000 graph_to_matrix.py:62(has_transformable_path_endpoints)
642120/642110    0.073    0.000    0.073    0.000 {built-in method builtins.getattr}
   464182    0.072    0.000    0.072    0.000 graph_to_matrix.py:128(__setitem__)
     1525    0.001    0.000    0.070    0.000 distance_from_center_aspect.py:7(evaluate)
     1525    0.039    0.000    0.069    0.000 grid.py:350(get_distances_from_center)
     1525    0.002    0.000    0.068    0.000 grid.py:305(get_with)
  1270907    0.067    0.000    0.067    0.000 grid_entry.py:48(get_id)
     4012    0.044    0.000    0.065    0.000 graph_to_matrix.py:633(get_long_handed_inserter_connection)
   167072    0.044    0.000    0.064    0.000 copyreg.py:103(__newobj__)
     1440    0.032    0.000    0.063    0.000 grid.py:420(_remove_belts)
    42162    0.044    0.000    0.061    0.000 {built-in method builtins.max}
    27/26    0.000    0.000    0.060    0.002 <frozen importlib._bootstrap_external>:1059(exec_module)
    27/26    0.003    0.000    0.060    0.002 {built-in method _imp.exec_dynamic}
     1525    0.002    0.000    0.060    0.000 grid.py:308(get_height)
   587468    0.058    0.000    0.058    0.000 grid_entry.py:102(create_belt_id)
   306337    0.058    0.000    0.058    0.000 {method 'extend' of 'list' objects}
    26132    0.022    0.000    0.057    0.000 _pvector.py:357(_mutating_extend)
  472/466    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap>:809(module_from_spec)
        1    0.000    0.000    0.054    0.054 main_window.py:448(_handle_compute_result)
        3    0.000    0.000    0.052    0.017 __init__.py:11(__getattr__)
    27/21    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap_external>:1051(create_module)
    27/21    0.033    0.001    0.051    0.002 {built-in method _imp.create_dynamic}
        1    0.001    0.001    0.051    0.051 main_window.py:1(<module>)
        1    0.000    0.000    0.049    0.049 factory_result_widget.py:72(show_results)
